,ID_HECHO,NUM_VICTIMAS,FECHA,AÑO,MES,DÍA,HORA,HH,TIPO_DE_CALLE,CALLE,COMUNA,POS X,POS Y,VICTIMA,ACUSADO
136,2016-0172,1,12/26/2016,2016,12,26,8:00:00,8,AVENIDA,"GARAY, JUAN DE AV.",5,-58.41918902,-34.63174259,MOTO,CARGAS
137,2016-0173,1,12/26/2016,2016,12,26,19:52:00,19,AVENIDA,DIRECTORIO AV.,7,-58.46749188,-34.63551751,MOTO,CARGAS
138,2016-0175,1,12/27/2016,2016,12,27,8:15:00,8,CALLE,"FALCON, RAMON L.,CNEL.",7,-58.46064174,-34.62960517,PEATON,BICICLETA
139,2016-0176,1,12/28/2016,2016,12,28,1:41:00,1,AVENIDA,BELGRANO AV.,1,-58.36956186,-34.61232875,MOTO,PASAJEROS
140,2016-0177,1,12/29/2016,2016,12,29,4:00:00,4,CALLE,ARENALES,14,-58.40966671,-34.58788235,PEATON,AUTO
141,2016-0178,1,12/30/2016,2016,12,30,16:18:00,16,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA,3,-58.40288226,-34.61544091,PEATON,MULTIPLE
142,2017-0001,1,1/2/2017,2017,1,2,1:00:00,1,AVENIDA,"JUSTO, JUAN B. AV.",11,-58.4659423,-34.61028571,MOTO,CARGAS
143,2017-0003,1,1/5/2017,2017,1,5,3:10:00,3,AVENIDA,OLAVARRIA,4,-58.38957669,-34.64410277,CARGAS,CARGAS
144,2017-0007,1,1/11/2017,2017,1,11,17:00:00,17,CALLE,LIMA,1,-58.3816166,-34.61529543,PEATON,MULTIPLE
145,2017-0008,1,1/16/2017,2017,1,16,0:40:00,0,CALLE,"CABRERA, JOSE A.",14,-58.43917004,-34.58494351,MOTO,PASAJEROS
146,2017-0009,1,1/16/2017,2017,1,16,13:56:00,13,AUTOPISTA,AUTOPISTA 25 DE MAYO,5,-58.41595919,-34.62743346,MOTO,CARGAS
147,2017-0010,1,1/16/2017,2017,1,16,16:30:00,16,AVENIDA,DIRECTORIO AV.,6,-58.4356488,-34.62828656,MOTO,AUTO
148,2017-0011,1,1/22/2017,2017,1,22,2:30:00,2,GRAL PAZ,"PAZ, GRAL. AV.",12,-58.5007381,-34.5497951,MOTO,OBJETO FIJO
149,2017-0012,1,1/24/2017,2017,1,24,14:00:00,14,CALLE,TRAFUL,4,-58.40969005,-34.6505529,MOTO,CARGAS
150,2017-0013,1,1/27/2017,2017,1,27,7:00:00,7,AVENIDA,"IRIARTE, GRAL. AV.",4,-58.38972622,-34.65098981,PEATON,CARGAS
151,2017-0014,1,1/28/2017,2017,1,28,8:27:34,8,AVENIDA,DONADO,12,-58.49185972,-34.55046754,MOTO,MULTIPLE
152,2017-0015,1,2/2/2017,2017,2,2,15:18:03,15,AVENIDA,CORDOBA AV.,2,-58.39293417,-34.59963642,PEATON,AUTO
153,2017-0016,1,2/3/2017,2017,2,3,5:12:21,5,AUTOPISTA,AUTOPISTA 25 DE MAYO,1,-58.38099494,-34.62288231,MOTO,CARGAS
154,2017-0017,1,2/6/2017,2017,2,6,8:00:00,8,AVENIDA,"JUSTO, JUAN B. AV.",14,-58.429012,-34.58095431,MOTO,AUTO
155,2017-0018,1,2/9/2017,2017,2,9,7:00:00,7,GRAL PAZ,"PAZ, GRAL. AV.",9,-58.50877521,-34.66977709,MOTO,AUTO
156,2017-0021,1,2/18/2017,2017,2,18,5:30:00,5,CALLE,SARMIENTO,1,-58.38362373,-34.60509972,MOTO,PASAJEROS
157,2017-0024,1,2/23/2017,2017,2,23,20:50:00,20,AVENIDA,RIVADAVIA AV.,7,-58.46589308,-34.62955795,PEATON,PASAJEROS
158,2017-0025,1,2/24/2017,2017,2,24,17:05:00,17,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",7,-58.43614426,-34.6542464,MOTO,AUTO
159,2017-0026,2,2/26/2017,2017,2,26,5:15:00,5,AVENIDA,"MORENO, PERITO AV.",4,-58.41842777,-34.64979057,AUTO,OBJETO FIJO
160,2017-0027,1,2/26/2017,2017,2,26,21:57:00,21,AVENIDA,CASEROS AV.,1,-58.38332245,-34.6319325,PEATON,AUTO
161,2017-0028,1,2/28/2017,2017,2,28,9:20:00,9,AVENIDA,GAONA AV.,6,-58.45475488,-34.61196327,PEATON,AUTO
162,2017-0029,1,3/7/2017,2017,3,7,2:15:00,2,CALLE,MOZART,9,-58.48501341,-34.64742455,MOTO,AUTO
163,2017-0030,1,3/7/2017,2017,3,7,8:00:00,8,AVENIDA,MOZART,9,-58.47010988,-34.65872088,AUTO,PASAJEROS
164,2017-0031,1,3/11/2017,2017,3,11,1:30:00,1,CALLE,24 DE NOVIEMBRE,3,-58.4099756,-34.62873635,AUTO,OBJETO FIJO
165,2017-0032,1,3/12/2017,2017,3,12,5:00:00,5,GRAL PAZ,"PAZ, GRAL. AV.",8,-58.48892175,-34.68359163,AUTO,AUTO
166,2017-0033,1,3/12/2017,2017,3,12,7:30:00,7,GRAL PAZ,"PAZ, GRAL. AV.",11,-58.52466448,-34.60325478,AUTO,AUTO
